"","Gene.symbol","Log2FoldChange","ENTREZID"
"321","CHMP1B",2.246454745,"57132"
"322","PRPF18",2.244978362,"8559"
"323","LRRN1",2.244528088,"57633"
"324","UGT8",2.244377248,"7368"
"325","CLN5",2.242299099,"1203"
"326","TRAPPC11",2.239938123,"60684"
"327","TLR2",2.238996477,"7097"
"328","ACSM3",2.233397361,"6296"
"329","DCTD",2.232995174,"1635"
"330","ENPP4",2.230777813,"22875"
"331","CSGALNACT2",2.227938467,"55454"
"332","SLC26A3",2.2237056,"1811"
"333","AGR2",2.22273828,"10551"
"334","KIF18A",2.222502721,"81930"
"335","ARFRP1",2.222047565,"10139"
"336","NT5C3A",2.219374608,"51251"
"337","NR1D2",2.215513075,"9975"
"338","CYB5R3",2.208781345,"1727"
"339","BMPR1A",2.207568753,"657"
"340","EPHX2",2.201837242,"2053"
"341","H2BC10",2.197429421,"8346"
"342","ARPC1A",2.196800249,"10552"
"343","FBLN1",2.196365706,"2192"
"344","ALDH1A1",2.195472943,"216"
"345","CCDC91",2.192200809,"55297"
"346","MARVELD3",2.188892799,"91862"
"347","PTPN12",2.188773571,"5782"
"348","IL1RAP",2.18813318,"3556"
"349","BRCC3",2.185472817,"79184"
"350","RBM47",2.184711282,"54502"
"351","DENR",2.183987618,"8562"
"352","SCAND1",2.183126343,"51282"
"353","CYBA",2.182513329,"1535"
"354","PLAC8",2.177099651,"51316"
"355","PSMF1",2.176731558,"9491"
"356","TM4SF5",2.17634206,"9032"
"357","RUFY1",2.175152071,"80230"
"358","IGFBP3",2.173685848,"3486"
"359","RRM1",2.173093687,"6240"
"360","CTBS",2.171158101,"1486"
"361","ERO1A",2.167842478,"30001"
"362","TCEAL8",2.162036497,"90843"
"363","CLN3",2.159258185,"1201"
"364","BMP4",2.158862715,"652"
"365","ZNF644",2.158839516,"84146"
"366","CHMP2B",2.158386781,"25978"
"367","RMND1",2.156692746,"55005"
"368","ABCC4",2.15536819,"10257"
"369","MPV17",2.150211157,"4358"
"370","PLEKHF2",2.148819422,"79666"
"371","SRSF5",2.14772821,"6430"
"372","MSH2",2.146423985,"4436"
"373","GTF2H1",2.144539708,"2965"
"374","GNPDA2",2.14434966,"132789"
"375","IDNK",2.142212879,"414328"
"376","SEC24A",2.141392792,"10802"
"377","RRAS",2.138315223,"6237"
"378","FIP1L1",2.137862852,"81608"
"379","VLDLR",2.137818365,"7436"
"380","MFN1",2.135424683,"55669"
"381","REG3A",2.130460358,"5068"
"382","LRCH1",2.128187999,"23143"
"383","CPNE8",2.127876678,"144402"
"384","CDK2",2.127779562,"1017"
"385","VRK3",2.12537525,"51231"
"386","SENP2",2.123082684,"59343"
"387","RSL1D1",2.120337192,"26156"
"388","CPNE3",2.120128334,"8895"
"389","GIN1",2.1179295,"54826"
"390","TSPAN12",2.117724653,"23554"
"391","SPATA7",2.116618797,"55812"
"392","GALK1",2.115329692,"2584"
"393","C15orf48",2.114255502,"84419"
"394","CENPL",2.11283737,"91687"
"395","DCAF6",2.112401649,"55827"
"396","SEL1L3",2.11233809,"23231"
"397","PRR15",2.110398543,"222171"
"398","AGPAT2",2.110092388,"10555"
"399","GADD45A",2.109169256,"1647"
"400","PKIB",2.1083583,"5570"
"401","IFT74",2.100766676,"80173"
"402","UTP11",2.100227452,"51118"
"403","EPC1",2.098907531,"80314"
"404","LINC00339",2.094767292,"29092"
"405","PLA1A",2.094445178,"51365"
"406","RHOU",2.094097349,"58480"
"407","USE1",2.093961888,"55850"
"408","ACE2",2.093745713,"59272"
"409","ATP6V1B2",2.092564033,"526"
"410","OTULINL",2.086238014,"54491"
"411","RTCA",2.086194245,"8634"
"412","ELF1",2.08593482,"1997"
"413","MAP1LC3B",2.083103123,"81631"
"414","GBA2",2.082969435,"57704"
"415","PLEKHG1",2.077833275,"57480"
"416","PCGF6",2.077201087,"84108"
"417","NIPSNAP2",2.073525748,"2631"
"418","LTBP3",2.070065068,"4054"
"419","RALGAPA2",2.069797623,"57186"
"420","NPW",2.069619645,"283869"
"421","ZNF684",2.067919386,"127396"
"422","RSRC1",2.066625915,"51319"
"423","YEATS4",2.065071122,"8089"
"424","SERPIND1",2.061571977,"3053"
"425","IGBP1",2.060781266,"3476"
"426","SNX5",2.05939348,"27131"
"427","TMEM38B",2.056490587,"55151"
"428","C16orf87",2.05598751,"388272"
"429","CNN3",2.055524664,"1266"
"430","CIDEC",2.054771855,"63924"
"431","PMM1",2.053981187,"5372"
"432","HAVCR1",2.052217723,"26762"
"433","BCKDHB",2.051696538,"594"
"434","DLAT",2.045141952,"1737"
"435","PSMA3-AS1",2.043655719,"379025"
"436","GLOD4",2.040613021,"51031"
"437","TMF1",2.039092289,"7110"
"438","MRPL34",2.038574087,"64981"
"439","ABCA5",2.037840581,"23461"
"440","LRP12",2.035828616,"29967"
"441","ATP6V0D1",2.035673171,"9114"
"442","HEATR3",2.03509719,"55027"
"443","RAD50",2.033941501,"10111"
"444","PJA2",2.031920283,"9867"
"445","TAF9",2.031212506,"6880"
"446","MFF",2.0311162,"56947"
"447","UGT2A3",2.029204442,"79799"
"448","AGO2",2.028248064,"27161"
"449","RBM7",2.026258933,"10179"
"450","DDX39B",2.022636878,"7919"
"451","CLTRN",2.022021932,"57393"
"452","PROX1",2.021378017,"5629"
"453","ICAM2",2.019923892,"3384"
"454","UNC93A",2.01746751,"54346"
"455","ARL6",2.017158057,"84100"
"456","ID3",2.016560149,"3399"
"457","NFYA",2.01526902,"4800"
"458","SDHD",2.013364544,"6392"
"459","PA2G4",2.012202721,"5036"
"460","PEX2",2.01100517,"5828"
"461","VIM",2.007545669,"7431"
"462","GDPD1",2.00706689,"284161"
"463","VNN2",2.004643116,"8875"
"464","MRPS12",2.003248323,"6183"
"465","BNIP3L",2.000045294,"665"
"466","ASCC3",1.998519942,"10973"
"467","ADGRD1",1.996262995,"283383"
"468","TMEM45B",1.994948833,"120224"
"469","EDN1",1.994559486,"1906"
"470","VMP1",1.99247478,"81671"
"471","LSM12",1.991110773,"124801"
"472","LIN9",1.990347731,"286826"
"473","SDCBP2",1.99026288,"27111"
"474","CYBRD1",1.989276412,"79901"
"475","CDK7",1.989196625,"1022"
"476","C8orf44-SGK3",1.987932436,"100533105"
"477","SGK3",1.987932436,"23678"
"478","SYNJ2BP",1.987404059,"55333"
"479","CDK9",1.986456408,"1025"
"480","GMCL1",1.985201815,"64395"
"481","VPS25",1.985059001,"84313"
"482","CYP2C8",1.984128648,"1558"
"483","SHMT2",1.981356542,"6472"
"484","RMC1",1.980004089,"29919"
"485","PTPMT1",1.979050925,"114971"
"486","TDP1",1.975817468,"55775"
"487","RTF2",1.975544999,"51507"
"488","EGFLAM",1.975170455,"133584"
"489","ATG3",1.97103117,"64422"
"490","ZNF91",1.971012963,"7644"
"491","IMMP1L",1.965781952,"196294"
"492","ALDH3A2",1.965596728,"224"
"493","DRAP1",1.965098275,"10589"
"494","COMMD1",1.963369664,"150684"
"495","UCP1",1.961696249,"7350"
"496","BEND7",1.957961198,"222389"
"497","SLC51A",1.957184405,"200931"
"498","SNRPB",1.95647582,"6628"
"499","AKTIP",1.955207157,"64400"
"500","NDUFAF5",1.953278704,"79133"
"501","HES4",1.953035224,"57801"
"502","MLH3",1.951093757,"27030"
"503","PLA2G10",1.947657637,"8399"
"504","LRIG3",1.946992789,"121227"
"505","PPP1R2",1.946852138,"5504"
"506","TSPAN6",1.942789653,"7105"
"507","ANKRD13C",1.942279804,"81573"
"508","DDHD1",1.940380289,"80821"
"509","SLC33A1",1.940056088,"9197"
"510","ELOA-AS1",1.939378208,"100506963"
